period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,gross-generation,generation-units,gross-generation-units
2018-05-01,60477,Bethlehem - East,SUN,Solar,NY,New York,ALL,214.65,214.65,megawatthours,megawatthours
2018-05-01,60477,Bethlehem - East,SUN,Solar,NY,New York,PV,214.65,214.65,megawatthours,megawatthours
2018-05-01,60478,Bethlehem - West,SUN,Solar,NY,New York,ALL,214.65,214.65,megawatthours,megawatthours
2017-11-01,10597,Ridgetop Energy LLC,WND,Wind,CA,California,ALL,1688.68,1688.68,megawatthours,megawatthours
2017-11-01,10597,Ridgetop Energy LLC,WND,Wind,CA,California,WT,1688.68,1688.68,megawatthours,megawatthours
2018-06-01,7927,Buffalo Mountain,WND,Wind,TN,Tennessee,ALL,0.0,0.0,megawatthours,megawatthours
2018-06-01,7927,Buffalo Mountain,WND,Wind,TN,Tennessee,WT,0.0,0.0,megawatthours,megawatthours
2017-11-01,50276,Wintec Energy Ltd,WND,Wind,CA,California,ALL,71.4,73.53,megawatthours,megawatthours
2017-11-01,50276,Wintec Energy Ltd,WND,Wind,CA,California,WT,71.4,73.53,megawatthours,megawatthours
2017-11-01,50281,San Gorgonio Farms Wind Farm,WND,Wind,CA,California,ALL,3059.16,3059.16,megawatthours,megawatthours
2017-11-01,50281,San Gorgonio Farms Wind Farm,WND,Wind,CA,California,WT,3059.16,3059.16,megawatthours,megawatthours
2018-05-01,61821,IKEA Jacksonville Rooftop PV System,SUN,Solar,FL,Florida,ALL,200.57,200.57,megawatthours,megawatthours
2018-05-01,61821,IKEA Jacksonville Rooftop PV System,SUN,Solar,FL,Florida,PV,200.57,200.57,megawatthours,megawatthours
2018-05-01,61822,"Princeton Energy Center, LLC",SUN,Solar,NJ,New Jersey,ALL,22.25,22.25,megawatthours,megawatthours
2018-05-01,61822,"Princeton Energy Center, LLC",SUN,Solar,NJ,New Jersey,PV,22.25,22.25,megawatthours,megawatthours
2018-05-01,61825,Dignity - Siena Campus,SUN,Solar,NV,Nevada,ALL,254.18,254.33,megawatthours,megawatthours
2018-05-01,61825,Dignity - Siena Campus,SUN,Solar,NV,Nevada,PV,254.18,254.33,megawatthours,megawatthours
2018-05-01,61826,O'Fallon Renewable Energy Center,SUN,Solar,MO,Missouri,ALL,669.0,669.0,megawatthours,megawatthours
2018-05-01,62077,Blue Shld Of Cal- El Dorado Hlls Mtr B,SUN,Solar,CA,California,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,62082,Southwick Solar PV,SUN,Solar,MA,Massachusetts,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62082,Southwick Solar PV,SUN,Solar,MA,Massachusetts,PV,0.0,0.0,megawatthours,megawatthours
2018-05-01,62106,"WED Green Hill, LLC",WND,Wind,RI,Rhode Island,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62106,"WED Green Hill, LLC",WND,Wind,RI,Rhode Island,WT,0.0,0.0,megawatthours,megawatthours
2018-05-01,62110,"WED Shun I, LLC",WND,Wind,RI,Rhode Island,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62110,"WED Shun I, LLC",WND,Wind,RI,Rhode Island,WT,0.0,0.0,megawatthours,megawatthours
2018-05-01,62111,"WED Shun II, LLC",WND,Wind,RI,Rhode Island,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62111,"WED Shun II, LLC",WND,Wind,RI,Rhode Island,WT,0.0,0.0,megawatthours,megawatthours
2018-05-01,62112,"WED Shun III, LLC",WND,Wind,RI,Rhode Island,ALL,0.0,0.0,megawatthours,megawatthours
2018-05-01,62112,"WED Shun III, LLC",WND,Wind,RI,Rhode Island,WT,0.0,0.0,megawatthours,megawatthours
2018-05-01,60046,Portage Solar,SUN,Solar,IN,Indiana,PV,277.6,279.03,megawatthours,megawatthours
2018-05-01,60047,Middlebury Solar,SUN,Solar,IN,Indiana,ALL,271.78,273.09,megawatthours,megawatthours
2018-05-01,60047,Middlebury Solar,SUN,Solar,IN,Indiana,PV,271.78,273.09,megawatthours,megawatthours
2018-05-01,60048,"TWE Chocowinity Solar, LLC",SUN,Solar,NC,North Carolina,ALL,726.22,727.68,megawatthours,megawatthours
2018-05-01,60048,"TWE Chocowinity Solar, LLC",SUN,Solar,NC,North Carolina,PV,726.22,727.68,megawatthours,megawatthours
2018-05-01,60049,Golden Hills Wind,WND,Wind,CA,California,ALL,42194.42,43109.86,megawatthours,megawatthours
2018-05-01,60049,Golden Hills Wind,WND,Wind,CA,California,WT,42194.42,43109.86,megawatthours,megawatthours
2018-05-01,60050,Innovative Solar 10,SUN,Solar,NC,North Carolina,ALL,263.48,264.0,megawatthours,megawatthours
2018-05-01,60050,Innovative Solar 10,SUN,Solar,NC,North Carolina,PV,263.48,264.0,megawatthours,megawatthours
2018-05-01,60051,"Innovative Solar 18, LLC",SUN,Solar,NC,North Carolina,ALL,398.3,399.14,megawatthours,megawatthours
2018-05-01,60051,"Innovative Solar 18, LLC",SUN,Solar,NC,North Carolina,PV,398.3,399.14,megawatthours,megawatthours
2018-05-01,60052,"Innovative Solar 26, LLC",SUN,Solar,NC,North Carolina,ALL,380.13,380.86,megawatthours,megawatthours
