period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-26,PJM,"PJM Interconnection, LLC",SUN,Solar,Pacific,Pacific,6241,megawatthours
2022-10-27,CISO,California Independent System Operator,SUN,Solar,Eastern,Eastern,93936,megawatthours
2022-10-26,NY,New York,SUN,Solar,Mountain,Mountain,0,megawatthours
2022-10-27,NWMT,NorthWestern Corporation,SUN,Solar,Eastern,Eastern,53,megawatthours
2022-10-23,PACW,PacifiCorp West,SUN,Solar,Eastern,Eastern,2194,megawatthours
2022-10-23,CAL,California,SUN,Solar,Pacific,Pacific,96398,megawatthours
2022-10-23,NWMT,NorthWestern Corporation,SUN,Solar,Eastern,Eastern,6,megawatthours
2022-10-23,TEPC,Tucson Electric Power,SUN,Solar,Pacific,Pacific,2097,megawatthours
2022-10-23,WALC,Western Area Power Administration - Desert Southwest Region,SUN,Solar,Central,Central,1566,megawatthours
2022-10-23,IID,Imperial Irrigation District,SUN,Solar,Central,Central,3789,megawatthours
2022-10-23,PACE,PacifiCorp East,SUN,Solar,Mountain,Mountain,5095,megawatthours
2022-10-23,IPCO,Idaho Power Company,SUN,Solar,Pacific,Pacific,1318,megawatthours
2022-10-23,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1145,megawatthours
2022-10-23,FMPP,Florida Municipal Power Pool,SUN,Solar,Eastern,Eastern,1329,megawatthours
2022-10-26,US48,United States Lower 48,SUN,Solar,Central,Central,303051,megawatthours
2022-10-26,FLA,Florida,SUN,Solar,Arizona,Arizona,28577,megawatthours
2022-10-26,ISNE,ISO New England,SUN,Solar,Pacific,Pacific,695,megawatthours
2022-10-27,FLA,Florida,SUN,Solar,Eastern,Eastern,30852,megawatthours
2022-10-27,SW,Southwest,SUN,Solar,Pacific,Pacific,15378,megawatthours
2022-10-26,CPLW,Duke Energy Progress West,SUN,Solar,Mountain,Mountain,105,megawatthours
2022-10-27,EPE,El Paso Electric Company,SUN,Solar,Pacific,Pacific,764,megawatthours
2022-10-26,DUK,Duke Energy Carolinas,SUN,Solar,Central,Central,2548,megawatthours
2022-10-27,DUK,Duke Energy Carolinas,SUN,Solar,Eastern,Eastern,5518,megawatthours
2022-10-26,TVA,Tennessee Valley Authority,SUN,Solar,Arizona,Arizona,2303,megawatthours
2022-10-27,FMPP,Florida Municipal Power Pool,SUN,Solar,Eastern,Eastern,901,megawatthours
2022-10-27,PSCO,Public Service Company of Colorado,SUN,Solar,Mountain,Mountain,1057,megawatthours
2022-10-26,NWMT,NorthWestern Corporation,SUN,Solar,Pacific,Pacific,62,megawatthours
2022-10-26,SEC,Seminole Electric Cooperative,SUN,Solar,Mountain,Mountain,9,megawatthours
2022-10-27,AZPS,Arizona Public Service Company,SUN,Solar,Pacific,Pacific,4427,megawatthours
2022-10-27,SE,Southeast,SUN,Solar,Eastern,Eastern,10149,megawatthours
